Longitude,Latitude,Sample No,Cu,Zn,Pb
73.05010556,24.61755278,45H02/081/S/16,16,30,11
73.06996667,24.61755278,45H02/082/S/16,16,40,12
73.08961667,24.61755278,45H02/083/S/16,31,48,15
73.10910833,24.61755278,45H02/084/S/17,42,64,21
73.12886389,24.61755278,45H02/085/S/17,30,55,21
73.14856389,24.61755278,45H02/086/S/16,30,72,22
73.16831944,24.61755278,45H02/087/S/16,30,69,19
73.18791667,24.61755278,45H02/088/S/16,29,66,23
73.20766667,24.61755278,45H02/089/S/16,37,62,24
73.22747222,24.61755278,45H02/090/S/16,27,51,33
73.24716667,24.61755278,45H02/091/S/16,19,74,41
73.01038611,24.63595833,45H02/092/S/16,27,74,40
73.03008889,24.63595833,45H02/093/S/16,32,75,23
73.05010556,24.63595833,45H02/094/S/16,31,55,14
73.06996667,24.63595833,45H02/095/S/16,38,54,13
73.08961667,24.63595833,45H02/096/S/16,52,56,16
73.10910833,24.63595833,45H02/097/S/17,46,76,20
73.12886389,24.63595833,45H02/098/S/17,33,61,23
73.14856389,24.63595833,45H02/099/S/17,31,79,23
73.16831944,24.63595833,45H02/100/S/17,32,72,16
73.18791667,24.63595833,45H02/101/S/16,24,60,23
73.20766667,24.63595833,45H02/102/S/16,26,58,27
73.22747222,24.63595833,45H02/103/S/16,25,85,40
73.24716667,24.63595833,45H02/104/S/16,23,77,34
73.01038611,24.65412778,45H02/105/S/15,21,72,39
73.03008889,24.65412778,45H02/106/S/16,43,87,35
73.05010556,24.65412778,45H02/107/S/16,41,74,15
73.06996667,24.65412778,45H02/108/S/16,49,51,17
73.08961667,24.65412778,45H02/109/S/16,36,59,18
73.10910833,24.65412778,45H02/110/S/16,23,66,16
73.12886389,24.65412778,45H02/111/S/17,28,56,22
73.14856389,24.65412778,45H02/112/S/17,23,63,25
73.16831944,24.65412778,45H02/113/S/17,25,73,16
73.18791667,24.65412778,45H02/114/S/17,24,57,21
73.20766667,24.65412778,45H02/115/S/17,29,65,23
73.22747222,24.65412778,45H02/116/S/16,34,85,29
73.24716667,24.65412778,45H02/117/S/16,35,89,40
73.01038611,24.67224444,45H02/118/S/16,60,58,19
73.03008889,24.67224444,45H02/119/S/16,25,77,33
73.05010556,24.67224444,45H02/120/S/16,46,85,25
73.06996667,24.67224444,45H02/121/S/16,29,75,18
73.08961667,24.67224444,45H02/122/S/16,21,48,18
73.10910833,24.67224444,45H02/123/S/16,27,49,22
73.12886389,24.67224444,45H02/124/S/16,31,61,24
73.14856389,24.67224444,45H02/125/S/16,22,65,25
73.16831944,24.67224444,45H02/126/S/16,25,61,21
73.18791667,24.67224444,45H02/127/S/17,28,66,25
73.20766667,24.67224444,45H02/128/S/17,34,72,22
73.22747222,24.67224444,45H02/129/S/16,32,68,22
73.24716667,24.67224444,45H02/130/S/16,21,86,41
73.01038611,24.69041111,45H02/131/S/16,46,89,67
73.03008889,24.69041111,45H02/132/S/16,40,57,20
73.05010556,24.69041111,45H02/133/S/16,24,75,47
73.06996667,24.69041111,45H02/134/S/16,21,74,22
73.08961667,24.69041111,45H02/135/S/16,24,73,24
73.10910833,24.69041111,45H02/136/S/16,25,78,33
73.12886389,24.69041111,45H02/137/S/16,22,72,33
73.14856389,24.69041111,45H02/138/S/16,18,80,34
73.16831944,24.69041111,45H02/139/S/16,17,77,32
73.18791667,24.69041111,45H02/140/S/16,22,60,24
73.20766667,24.69041111,45H02/141/S/17,24,68,26
73.22747222,24.69041111,45H02/142/S/16,28,63,24
73.24716667,24.69041111,45H02/143/S/16,28,91,32
73.01038611,24.70838611,45H02/144/S/16,35,89,22
73.03008889,24.70838611,45H02/145/S/16,635,152,35
73.05010556,24.70838611,45H02/146/S/16,459,79,23
73.06996667,24.70838611,45H02/147/S/16,27,47,19
73.08961667,24.70838611,45H02/148/S/16,31,77,26
