DATAFLOW,LAST UPDATE,freq,duration,isced11,age,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EL,2009,62.8,b
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EL,2010,57.1,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EL,2011,49.1,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EL,2012,40.6,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EL,2013,37.9,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EL,2014,42.2,b
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EL,2015,44.1,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EL,2016,46.8,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EL,2017,51.6,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EL,2018,53.0,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EL,2019,59.8,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EL,2020,56.0,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,ES,2009,73.1,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,ES,2010,70.1,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,ES,2011,66.4,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,ES,2012,65.0,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,ES,2013,59.4,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,ES,2014,66.9,b
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,ES,2015,65.2,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,ES,2016,65.5,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,ES,2017,73.3,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,ES,2018,75.0,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,ES,2019,72.2,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,ES,2020,69.4,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU27_2020,2009,76.6,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU27_2020,2010,75.0,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU27_2020,2011,74.4,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU27_2020,2012,72.9,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU27_2020,2013,71.9,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU27_2020,2014,73.1,b
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU27_2020,2015,73.7,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU27_2020,2016,75.1,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU27_2020,2017,77.1,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU27_2020,2018,78.8,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU27_2020,2019,78.6,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU27_2020,2020,77.5,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU28,2009,77.0,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU28,2010,75.4,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU28,2011,75.0,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU28,2012,73.7,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU28,2013,73.2,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU28,2014,74.3,b
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU28,2015,75.3,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU28,2016,76.1,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU28,2017,78.3,
ESTAT:TPS00053(1.0),03/06/21 23:00:00,A,Y1-3,ED3-8,Y20-34,F,PC,EU28,2018,79.9,
