Numero_expedient,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Codi_carrer,Nom_carrer,Num_postal,Descripcio_dia_setmana,Dia_setmana,Descripcio_tipus_dia,Any,Mes_any,Nom_mes,Dia_mes,Hora_dia,Descripcio_torn,Descripcio_causa_vianant,Numero_morts,Numero_lesionats_lleus,Numero_lesionats_greus,Numero_victimes,Numero_vehicles_implicats,Coordenada_UTM_X,Coordenada_UTM_Y,Longitud,Latitud
2016S008209    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,28000,Augusta,0109B0109B,Dijous,Dj,Laboral,2016,10,Octubre,27,22,Nit,Altres,0,1,0,1,1,428763.92,4583810.07,2.146659,41.400831
2016S008148    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,28000,Augusta,0119 0119,Dimarts,Dm,Laboral,2016,10,Octubre,25,20,Tarda,No és causa del  vianant,0,1,0,1,2,428695.75,4583761.2,2.145851,41.400384
2016S005961    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,90105,Copèrnic,0017 0017,Divendres,Dv,Laboral,2016,7,Juliol,29,9,Matí,No és causa del  vianant,0,1,0,1,2,427970.42,4583726.47,2.137183,41.400004
2016S004030    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,223606,Muntaner,0305 0305,Dijous,Dj,Laboral,2016,5,Maig,26,7,Matí,No és causa del  vianant,0,1,0,1,2,428683.97,4583364.08,2.145755,41.396807
2016S009136    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,32700,Balmes,0170B0170B,Dilluns,Dl,Laboral,2016,11,Novembre,28,9,Matí,Desobeir el senyal del semàfor,0,1,0,1,1,429410.06,4583228.71,2.154466,41.395646
2016S008184    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,32700,Balmes,0178 0178,Dijous,Dj,Laboral,2016,10,Octubre,27,8,Matí,No és causa del  vianant,0,1,0,1,2,429354.97,4583286.86,2.15379,41.396164
2016S005775    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,32700,Balmes,0180 0180,Divendres,Dv,Laboral,2016,7,Juliol,22,16,Tarda,No és causa del  vianant,0,1,0,1,2,429350.37,4583291.72,2.153741,41.396208
2016S010097    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,32700,Balmes,0206 0206,Dijous,Dj,Laboral,2016,12,Desembre,29,21,Tarda,No és causa del  vianant,0,1,0,1,3,429224.09,4583430.83,2.152218,41.397449
2016S000441    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,23403,Aribau,0279 0281,Dimarts,Dm,Laboral,2016,1,Gener,19,12,Matí,No és causa del  vianant,0,1,0,1,2,428615.89,4583684.5,2.144904,41.399683
2016S002970    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,8501,Alfons XII,0076 0076,Dimarts,Dm,Laboral,2016,4,Abril,19,15,Tarda,No és causa del  vianant,0,2,0,2,2,428830.81,4583762.06,2.147466,41.400405
2016S009975    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,70607,Casanova,0250 0250,Dissabte,Ds,Laboral,2016,12,Desembre,24,20,Tarda,No és causa del  vianant,0,1,0,1,2,428845.42,4583036.32,2.147731,41.393867
2016S007921    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,144601,Diagonal,0488 0488,Dimarts,Dm,Laboral,2016,10,Octubre,18,12,Matí,No és causa del  vianant,0,1,0,1,2,429447.84,4583224.34,2.154909,41.395613
2016S004665    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,32700,Balmes,0248 0248,Dimecres,Dc,Laboral,2016,6,Juny,15,16,Tarda,No és causa del  vianant,0,1,0,1,2,429040.13,4583680.39,2.149988,41.399685
2016S008563    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,32700,Balmes,0259 0271,Dimecres,Dc,Laboral,2016,11,Novembre,9,12,Matí,No és causa del  vianant,0,2,0,2,2,428923.64,4583756.1,2.148579,41.400359
2016S001108    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,32700,Balmes,0266 0266,Dijous,Dj,Laboral,2016,2,Febrer,11,16,Tarda,No és causa del  vianant,0,1,0,1,2,428925.93,4583783.6,2.1486,41.400602
2016S009292    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,344101,Gràcia,0028 0028,Divendres,Dv,Laboral,2016,12,Desembre,2,11,Matí,No és causa del  vianant,0,1,0,1,2,428800.4,4583104.48,2.147185,41.394476
2016S009007    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,28000,Augusta,0156 0158,Dimecres,Dc,Laboral,2016,11,Novembre,23,19,Tarda,No és causa del  vianant,0,1,0,1,2,428566.33,4583691.33,2.144317,41.399742
2016S000066    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,187105,Madrazo,0032 0032,Dilluns,Dl,Laboral,2016,1,Gener,4,19,Tarda,No és causa del  vianant,0,1,0,1,2,428974.62,4583769.74,2.149188,41.40048
2016S002545    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,23403,Aribau,0215 0215,Dilluns,Dl,Laboral,2016,4,Abril,4,13,Matí,No és causa del  vianant,0,1,0,1,2,428914.97,4583331.73,2.148522,41.39653
2016S006823    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,144601,Diagonal,0550 0556,Dijous,Dj,Laboral,2016,9,Setembre,8,9,Matí,No és causa del  vianant,0,1,0,1,2,429096.82,4583109.88,2.150725,41.394547
2016S009199    ,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,223606,Muntaner,0388 0390,Dimecres,Dc,Laboral,2016,11,Novembre,30,9,Matí,No és causa del  vianant,0,1,0,1,2,428380.55,4583703.01,2.14209,41.399833
2016S007446    ,5,Sarrià-Sant Gervasi,23,Sarrià,353805,Vallvidrera,0032 0032,Divendres,Dv,Laboral,2016,9,Setembre,30,18,Tarda,No és causa del  vianant,0,3,0,3,4,426043.1,4584497.87,2.114039,41.406773
2016S008395    ,5,Sarrià-Sant Gervasi,23,Sarrià,106103,Sarrià,0015X0015X,Dijous,Dj,Laboral,2016,11,Novembre,3,18,Tarda,Creuar per fora pas de vianants,0,1,0,1,1,426682.08,4583737.77,2.121775,41.399986
2016S003809    ,5,Sarrià-Sant Gervasi,23,Sarrià,701267,Dalt (Besòs),740000,Dimecres,Dc,Laboral,2016,5,Maig,18,14,Tarda,No és causa del  vianant,0,2,0,2,4,426324.82,4584220.75,2.117434,41.404304
2016S008066    ,5,Sarrià-Sant Gervasi,23,Sarrià,16907,Anglí,0054 0054,Diumenge,Dg,Laboral,2016,10,Octubre,23,8,Matí,No és causa del  vianant,0,2,0,2,2,426828.76,4584038.64,2.123485,41.402711
2016S003218    ,5,Sarrià-Sant Gervasi,23,Sarrià,28000,Augusta,0373X0373X,Dijous,Dj,Laboral,2016,4,Abril,28,10,Matí,No és causa del  vianant,0,1,0,1,2,426549.52,4583981.34,2.120155,41.402172
2016S007574    ,5,Sarrià-Sant Gervasi,23,Sarrià,58601,Can Caralleu,0025 0025,Dimecres,Dc,Laboral,2016,10,Octubre,5,23,Nit,No és causa del  vianant,0,1,0,1,1,426028.42,4583770.14,2.113949,41.400224
2016S002047    ,5,Sarrià-Sant Gervasi,23,Sarrià,62700,Bosch i Gimpera,0006 0010,Dimarts,Dm,Laboral,2016,3,Març,15,8,Matí,No és causa del  vianant,0,1,0,1,2,426379.68,4582931.22,2.118249,41.392699
2016S003075    ,5,Sarrià-Sant Gervasi,23,Sarrià,65505,Cardenal Vives i Tutó,0018B0018B,Divendres,Dv,Laboral,2016,4,Abril,22,19,Tarda,No és causa del  vianant,0,1,0,1,2,426584.4,4583081.21,2.120683,41.394069
2016S002016    ,5,Sarrià-Sant Gervasi,23,Sarrià,58601,Can Caralleu,0021 0021,Dilluns,Dl,Laboral,2016,3,Març,14,0,Nit,No és causa del  vianant,0,0,0,0,1,426078.34,4583874.7,2.114534,41.401165
2016S002192    ,5,Sarrià-Sant Gervasi,23,Sarrià,701267,Dalt (Besòs),750000,Dissabte,Ds,Laboral,2016,3,Març,19,11,Matí,No és causa del  vianant,0,1,0,1,1,426398.25,4584288.72,2.118311,41.404923
